"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M473.363T625.6","473.362973046914","625.58899999998","364864.274187228","375874.05926654","364399.492656432","362731.449609568","381207.337134279"
"M476.2784T478.8","476.278406329423","478.787811279297","3989446.05939721","3947353.10940818","3736920.11985062","3734353.99515423","3870321.47421842"
"M478.2937T505.5","478.293729357938","505.479156494141","1851339.97605822","1879152.51606529","1803999.38206729","1808703.95152259","1867995.54698292"
"M480.3094T537.6","480.309378796661","537.628967285156","1242446.69415738","1221551.49260954","1206732.40266181","1204496.3724785","1205365.44256006"
"M483.3682T532.2","483.36821427495","532.169982910156","321051.62077335","252452.874927768","227719.890618036","247813.395533343","227065.299275693"
"M512.2684T350.8","512.268441415496","350.788238525391","979352.196405132","969877.872228075","989472.816776821","981790.165096333","980667.240623849"
"M528.2629T287.7","528.26289598378","287.694732666016","164812.707860621","174436.145386487","163455.335715821","168099.247613955","169243.727049189"
"M530.4289T663.2","530.428904963852","663.2021484375","266055.44341057","165122.045365426","249324.37454525","255222.690864493","256964.808155776"
"M535.3995T547.9","535.399450746502","547.94200000002","136385.227196437","135611.331088251","132443.605395113","147712.867431641","131046.303486814"
"M537.4157T581.3","537.415711597779","581.306030273438","1297366.57270325","1306164.36621716","1260194.33793888","1273004.6382936","1308742.56675628"
"M539.4309T585.6","539.430876957232","585.552","662263.953813433","643234.359681188","652862.794705585","662003.30185407","647038.515955594"
"M539.4312T597.7","539.431166691592","597.684","985159.78773007","1042418.81939933","948690.105422507","938178.400900686","1017234.66430649"
"M545.4201T607.4","545.420103154827","607.391418457031","155525.400269532","156792.435841526","189557.75770932","147304.347687567","153925.290447928"
"M550.3508T518.2","550.350796843437","518.218017578125","128827.402274675","123733.781542639","120214.925107516","122366.772677732","122045.239762748"
"M554.346T509.1","554.345963828418","509.1181640625","1593792.75577381","1584275.54372853","1521828.64469895","1505914.87036076","1562562.52481068"
"M555.4413T669.9","555.441316302808","669.876","736388.985546727","747690.616951771","696633.882351043","695230.366529867","714503.791150407"
"M556.3257T359.3","556.325739273368","359.279632568359","306632.711910623","293546.845240323","280788.734105691","314647.933099866","293778.275965522"
"M559.4719T692.3","559.471897767943","692.32099999998","2665954.14967782","2641375.84337228","1574098.31494319","2504556.93683978","2603593.77675332"
"M561.4874T704.5","561.487437558109","704.45299999998","635312.236358383","682028.941662539","617927.19022393","686996.552585521","598126.556771243"
"M564.3306T473.3","564.330618850275","473.327499389648","23650540.2102028","23568964.6517826","23041837.5577977","23226705.465334","23784362.9896711"
"M565.4461T592.2","565.446096904262","592.224548339844","290240.15163442","217487.136106055","232498.902304029","167153.410558794","234258.681255468"
"M575.4673T673.5","575.46726947353","673.515502929688","566129.561924083","539150.408408909","533295.063617237","500282.481505232","512545.566449636"
"M583.256T552.2","583.255963450192","552.187927246094","1372950.16833187","1364222.32809182","1334250.58392167","1346669.47451052","1340070.12996155"
"M589.3337T474.5","589.333660572189","474.541465576182","1560665.56298795","1544155.85535917","1501945.82644419","1526416.04946416","1553191.04607064"
"M590.3459T492.1","590.34589160603","492.132952026377","1458491.48325439","1461691.28759151","1583647.8446582","1445111.49689955","1619411.24623317"
"M591.4622T589.2","591.462182804442","589.19200000002","687305.840022083","687446.934024168","664832.550982272","635399.70196199","689889.396686967"
"M592.3609T514","592.360943766202","513.971069335938","376568.972719626","364254.798466208","384838.368641658","364675.865347542","348434.159758045"
"M593.4785T614.7","593.478507362203","614.670837402344","3901809.79914384","3931453.08136329","3758660.99326408","3711047.734643","3802254.70799486"
"M593.4774T679.6","593.477436566507","679.581665039062","461763.154312842","452849.17079206","452175.305886502","451157.380135685","456392.017700786"
"M595.4943T629.2","595.494307005471","629.230773925781","4486683.1366954","4490802.07029059","4322275.74966233","4287084.48343311","4417503.56167831"
"M608.3174T489.7","608.317369697195","489.707061767578","879670.774341257","877984.103071654","887772.4047808","886053.623653747","866091.324631964"
"M622.2916T466","622.291589530335","466.046997070312","58452.0294176392","58806.9432044236","45468.6376888775","58722.6145766763","59243.2231063324"
"M634.3333T500","634.333274025154","500.019165039062","1350025.83091314","1356378.189972","1274283.4981326","1563654.72774827","1309798.71783786"
"M635.3363T500","635.336282831588","500.01904296875","421739.16461223","426187.51281679","487071.184568354","418186.970191366","504475.26707957"
"M662.4211T605","662.421145394052","604.964599609375","527999.606193805","530223.373323616","500551.879473819","515170.423100468","513891.207694236"
"M680.6195T787","680.619459567832","786.953002929688","16452.0820213988","15494.7040066467","17130.4436033818","18062.2597637673","19599.2888055432"
"M690.6032T768.8","690.603240660129","768.75439453125","41618.1277818649","38934.9342143523","37706.2561919817","39114.8346621733","41903.6113898985"
"M694.2874T472.1","694.287412471004","472.114349365234","131412.39012903","133402.705308545","126982.082812986","131712.92019788","153770.969212835"
"M698.5795T251.3","698.579502290955","251.291763305664","485337.089772947","534992.679715669","511930.851097629","510954.615652944","473668.029966829"
"M704.3356T533.4","704.335592043117","533.382995605469","337911.849654359","329421.471633278","332041.190286119","334969.265619627","327884.471942661"
"M710.2593T470.9","710.259316157835","470.901","218596.870428745","218853.117878065","206454.511567519","202310.191677879","204146.247250643"
"M719.5352T648","719.535152051223","648.03700000002","3797507.98002068","3778712.79225985","3747916.42375655","3725982.57326488","3771632.00064111"
"M722.2877T451.5","722.287706358364","451.488037109375","17912.0720614014","17713.3519657306","18883.6960669091","22909.2590864426","21527.040901687"
