"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M425.3995T659","425.399470257411","658.957046142588","84635.7409026477","74565.1477697004","75845.715193242","79287.8608396965","77262.4860730888"
"M433.3317T581.9","433.331748457461","581.912048339844","116663.596687804","125513.93780666","125288.38214497","126251.496871875","117665.603814874"
"M433.3678T657.1","433.36778407631","657.136016845703","66369.1326405854","60266.1714197683","62819.4312042736","62176.167168753","64090.5241880126"
"M435.2511T487.9","435.251050850628","487.886993408203","319724.209399179","303222.731140925","292369.308188359","298963.912177331","300864.053926303"
"M437.3269T550.4","437.326877362362","550.368041992188","228421.005318644","196103.710329206","229132.465822748","217712.095586977","197307.459317376"
"M441.3945T613.5","441.3944591275","613.456726074219","128548.910962824","131228.034822364","133532.929377576","134112.694095163","137270.897072567"
"M443.1556T342.9","443.155572769483","342.902374267578","175053.40142266","169755.98702893","161416.24670841","166937.269072049","167559.331040222"
"M443.316T580.7","443.31595867904","580.699035644531","444983.680788871","429743.350424715","421688.989653971","441386.616744669","432149.672103168"
"M445.3322T586.8","445.332178826248","586.765319824219","1315791.41594769","1263834.34382041","1224650.76319876","1239052.33763899","1276877.56448158"
"M445.3321T599.5","445.332141485299","599.503845214844","2856418.51074378","2784459.97308469","2729936.80419288","2720892.05169452","2779789.25411818"
"M446.376T671.1","446.375978107196","671.08900000002","135628.790043867","136665.319413573","121161.707354027","127149.41485654","128493.954289091"
"M447.3476T612.9","447.34755544073","612.850708007812","996943.096084576","998500.08544981","1012920.61685836","974598.341164452","997914.226692501"
"M453.2625T518.8","453.262478648625","518.823547363281","56810.0260551268","61980.6397800292","58869.6544783492","57057.167090808","54891.8094207363"
"M459.2509T473.9","459.250885458511","473.933471679688","130369.419954396","123451.477299207","126450.469311277","122617.784720981","121800.863341846"
"M459.2901T620.7","459.290067147734","620.735595703125","273021.633761973","269386.728478711","256962.606052537","248968.970253183","268747.867564216"
"M464.3011T335.6","464.301122316077","335.622985839844","184217.208852905","198536.931127893","181442.209391839","181443.577748837","188488.827167672"
"M465.305T598.3","465.304997100628","598.29100000002","3849723.46631557","3847748.18093305","3139462.87789737","3172865.98479021","3807819.63094704"
"M467.3738T584.9","467.373807840244","584.945251464844","1129011.05547397","1698756.3152268","1676282.70790605","1653740.72621375","1130673.07737616"
"M471.2417T342.9","471.241677823025","342.902187133779","139218.491063662","139262.235676026","134729.542477177","141400.091398779","131400.91403184"
"M473.363T625.6","473.362973046914","625.58899999998","364864.274187228","375874.05926654","364399.492656432","362731.449609568","381207.337134279"
"M476.2784T478.8","476.278406329423","478.787811279297","3989446.05939721","3947353.10940818","3736920.11985062","3734353.99515423","3870321.47421842"
