"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M291.8943T75.2","291.894306398425","75.1765289306641","209151.44950158","227707.22646932","213599.464691945","217020.863726752","222208.907422197"
"M292.1404T36.3","292.140428002673","36.3410530090332","193662.243776175","198499.63194265","211326.330091412","206699.534277912","199239.705196365"
"M294.1345T363.5","294.134538600742","363.526942993154","157606.136836315","146227.643571002","130656.674016043","123221.446551816","150697.104225631"
"M294.6201T339.9","294.620064698738","339.869445800781","111865.571164051","111147.080898779","107419.928850703","109267.221323953","109725.601406615"
"M295.028T226.1","295.028046124465","226.116256713867","134655.467615238","141335.063067798","133226.271658603","137837.541338621","134936.93167714"
"M295.1218T339.9","295.121794885637","339.870422363281","45309.0480027454","42778.5787767729","40805.1932637635","38193.0645298777","39521.4632457999"
"M295.2274T509.7","295.227428243316","509.725036621094","92332.983174967","91414.4874341914","86392.9390368701","85262.0760184797","84147.8797137005"
"M297.0378T239.9","297.037763254521","239.869842529297","176446.607265769","187058.525998014","189829.276021944","188312.772603015","212955.086180484"
"M297.2432T537","297.243183970867","537.02294921875","275443.262298087","263295.868817164","267918.459937442","262420.61405627","277363.8409885"
"M297.2431T464.2","297.243119382055","464.228363037109","303487.194067256","303570.751417433","309447.248301672","297322.451351377","305456.742586796"
"M299.2588T509.1","299.258781066011","509.118133544922","204356.775480443","208173.457135992","207361.161455322","208072.249266009","200085.912989089"
"M299.2588T566.7","299.258818782792","566.747009277344","139960.504579494","138562.923257667","120394.30203059","115669.589038656","134482.727395359"
"M301.217T554.6","301.216963021836","554.61499999998","141741.575612371","137187.851021035","132871.468137609","144708.23984674","144334.387496097"
"M301.2381T594.7","301.238062396772","594.651550292969","70762.1375635977","67655.1773422916","75431.0077962225","74503.760231891","68791.3896307987"
"M302.9763T240.5","302.976261530936","240.470230102539","92777.0687807182","91776.3384590151","89885.8728717293","91024.7337125091","90229.7953769746"
"M305.2421T554","305.242119400633","554.007934570312","197932.487467961","194052.921137329","188317.714963868","191087.382750377","196311.236730305"
"M305.2481T595.3","305.248115609372","595.25800000002","94670.4406890905","128746.883022098","110364.928377926","114769.067522171","129281.982883695"
"M307.0794T336.8","307.079416449247","336.837005615234","28947.5709888162","27844.0676633489","31059.8364211511","28511.1984481887","34846.3102902646"
"M308.8405T305.9","308.84052007229","305.898620605469","19090.131459932","18193.5834384306","17811.9459778874","14660.8081372524","16689.2884716339"
"M311.2225T413.9","311.222484140361","413.876892089844","161605.403513684","156321.649430685","154355.234553004","143718.330473953","156675.732076879"
"M313.2379T478.2","313.237858878069","478.180969238281","236365.957773735","162585.238030665","162464.25377358","159869.827414819","169456.137426083"
"M315.1277T279.2","315.127726739647","279.184356689453","19055.088851352","18498.2094273828","19417.968216924","18217.7376904685","19598.8639356969"
"M315.2537T447.8","315.253669959282","447.848785400391","91655.7734000794","97071.6818169799","90082.5615593602","91750.9555570615","97723.1801319695"
"M317.2247T605.6","317.224727977573","605.571044921875","29045.5178625888","33032.0553727152","33088.9962826938","30036.1435544658","30375.7059554592"
"M318.9999T48.3","318.999858395845","48.3037033081055","59654.4051198395","59481.4871421936","52802.7529816735","53610.3410866126","55474.2777516044"
"M321.1472T371.4","321.14722549342","371.41300000002","123174.176295946","129344.388666703","78457.4842527179","115676.249851014","117476.535366979"
"M323.2195T594.7","323.219455163137","594.651550292969","112642.394605169","108843.152043811","119937.107401477","115534.624975257","114807.353673303"
"M324.7628T33.7","324.762766220482","33.6911773681641","31837.2932874987","34531.8014299975","28308.4169724751","29535.6894975971","44261.4701703476"
"M326.1245T53.7","326.124546707319","53.6708145141602","20971.4848267193","23674.187345512","21980.3380008177","21804.2158552323","23041.9891837239"
"M327.0298T239.3","327.029804193988","239.269561767578","8203.43673242453","10754.9188591512","6866.31217652524","9575.21035042637","14486.4811955266"
"M328.1171T36.2","328.117097047012","36.2451705932617","88708.8000114106","85296.30532038","89793.7033235248","87740.7787151714","84364.4039531466"
"M328.1629T372","328.162939041538","372.01999999998","122300.101628262","115116.708787453","111527.561908063","106405.27648477","117182.193662713"
"M328.9743T239.9","328.974326455104","239.869842529297","46957.5820979527","41766.1855494638","42452.2058305939","43328.2710487655","44360.5199920608"
"M329.1751T402.4","329.175092819921","402.351013183594","23305.4283642578","23756.5187996904","22879.2416983422","24010.5231419512","24284.1182030912"
"M329.2486T599.5","329.248578347515","599.50399999998","230475.638594002","365412.786821961","330313.002799329","367984.066433438","266181.103114314"
"M330.2364T384.2","330.23635166169","384.15199999998","20502.0538078491","26476.8235873626","20276.374779891","18984.2174383755","19403.5991963054"
"M331.2484T604.4","331.248413264643","604.358947753906","53700.3679982852","50704.982432468","52333.552213156","51028.6025560345","53823.1949239167"
"M331.2632T611.6","331.263171629737","611.637","120317.22777766","120523.313685499","111007.642815494","114196.174341045","113546.649693742"
"M333.2069T317.4","333.206862935507","317.424591064453","66937.0133940936","66513.4272640845","68794.5182919432","66808.9257542859","69405.1552779538"
"M334.251T533.4","334.251003155484","533.382995605469","16912.2967681092","15672.9802572846","17459.8035476455","17450.3331966248","17748.3700816301"
"M334.8977T221.9","334.897711315327","221.936798095703","7460.13131581421","6299.27352820031","6824.39808793498","6490.91442529091","7250.17978212041"
"M335.111T395.1","335.11096913578","395.07100000002","45284.7072485961","45472.4085914754","46979.3787552866","46127.3418166959","47372.1329930052"
"M337.1424T319.2","337.14238641128","319.244598388672","35568.45162937","38490.457810814","39716.4964483521","31755.0373104163","37568.4881544684"
"M338.2698T547.3","338.269773312747","547.334949951172","18610.9640094863","18405.8505913332","16343.8792488319","17163.6016417523","16582.152393917"
"M340.302T333.2","340.302043068419","333.196105957031","58489.9201707296","60750.3328914774","53022.782609299","57247.2038788072","55469.0912680086"
"M341.2692T521.3","341.269197211535","521.25096874998","76955.8008670071","80320.5323119517","77144.8239505238","75466.6188387285","76616.7734903177"
"M344.2799T532.2","344.279940229836","532.169982910156","39596.2737464657","42145.5198686632","38674.5940869274","38521.7855173302","40242.9664252786"
"M345.1552T259.1","345.155164616559","259.149658203125","35292.3815028837","34603.3246350093","39859.838072645","38178.4146675549","36986.5295798949"
"M347.2198T578.9","347.21976014553","578.879028320312","107765.558299256","103682.971143723","100306.017248267","101890.153952206","105851.527942514"
"M349.2353T605.6","349.235338572034","605.571166992188","198505.891966185","200072.66084055","197942.086818212","198554.739813604","194586.394985548"
"M350.1507T200.3","350.150733068339","200.337181091309","22852.9977369419","26063.6030897753","22579.4939895109","24383.4132536137","23692.806427743"
"M350.2097T414.5","350.2096995675","414.483306884766","41789.0691388095","39141.141390361","36820.7376287889","37878.8693910645","38790.4455834809"
"M351.077T395.7","351.076970571055","395.677886962891","9298.02200196534","10152.3330995975","8376.52117375207","9362.4328005603","6557.26475139786"
"M351.251T636.5","351.251036113682","636.510375976562","80330.4225470265","81062.8825090619","100153.998550639","99789.9103691533","83362.3784695153"
"M351.2533T497.6","351.253347290059","497.593078613281","109108.955215548","109634.62365769","108167.439360368","104566.146189906","110082.744657962"
"M352.0859T256.1","352.085871509154","256.121948242188","185397.726937473","179564.726036884","177118.805358756","182736.534632936","183378.793827796"
"M353.2121T506.7","353.212120873572","506.692047119141","153486.393805955","154857.488134571","185455.426275768","180767.015876431","149058.395352313"
"M355.0976T274.3","355.097568150925","274.320678710938","17685.9407318501","16034.8912748493","14940.4416456828","16648.2116098774","13097.5577282158"
"M355.2275T477","355.227467612035","476.9677734375","170400.225266453","159322.615086841","139491.446887028","136536.86443404","148894.71902294"
"M357.0931T395.1","357.093076768383","395.070922851562","18471.6819368149","18566.97445874","21570.1471735161","20201.598744818","23006.1041731151"
"M360.2673T545.5","360.267336775045","545.514953613281","10798.660412225","14616.6087939697","11929.5080538614","13420.6853775914","11624.0880817364"
"M361.2017T419.9","361.201746559513","419.943542480469","33174.8332513134","37270.4960524815","38680.1173888249","38964.6037444836","41272.8117223827"
"M362.2368T484.9","362.23680499679","484.853942871094","42967.7800925626","39908.1055894818","42081.9461014111","42962.6236589539","39273.0342242305"
"M363.2095T577.1","363.20953493155","577.059","36964.7000108066","37046.1882569986","35150.0772636588","34871.4295417299","38172.7624927404"
"M363.9443T239.9","363.944325027838","239.871459960938","65574.7498699428","67002.9955185516","60841.6352963803","58597.5146642028","63707.609229883"
"M366.2233T606.2","366.223313494615","606.177703857422","50749.3341198303","53772.3529980692","53313.2826806802","51433.6475402219","53038.8082180927"
"M366.9003T372","366.900301472425","372.01999999998","89291.7638446592","93483.0377225777","84819.5652796874","86984.9427418565","85190.4192689703"
"M367.0481T395.1","367.048089021721","395.07100000002","17221.5609321116","17312.2006341553","17330.1265357108","16608.4559848356","18026.5178586316"
"M367.1595T295","367.159486891764","294.979034423828","20173935.6717906","20178780.9093349","19728829.9903929","19880922.5353737","19770060.499789"
"M367.1583T325.9","367.158306908179","325.919860839844","788579.262224635","785900.645659951","766703.986804766","687336.349546928","787269.953032508"
"M367.2844T527.3","367.284375732749","527.316955566406","56928.4986179609","67767.7020618653","57613.6634717882","53805.423201106","56449.0378130811"
"M368.2418T637.1","368.24176027679","637.117431640625","16077.2333554842","19425.9042475398","19972.0711106047","20356.9938736121","19782.3018369111"
"M369.1605T295","369.160537966592","294.979064941406","1198677.56558775","1182986.11332511","1158463.89728672","1163251.67555835","1172190.04662794"
"M369.1746T315","369.174643960559","314.998413085938","6872062.84220601","6759464.33787967","6566132.57908003","6527449.39766801","6667470.37707714"
"M369.174T342.3","369.174042012624","342.2958984375","929457.624887403","918963.915298945","902448.123828869","902363.728929034","907446.085003124"
