"","mz","rt","GD_012_matrix_RPP_RRHD_B1.mzML","GD_014_matrix_RPP_RRHD_B1.mzML","GD_015_matrix_RPP_RRHD_B1.mzML","GD_017_matrix_RPP_RRHD_B1.mzML","GD_019_matrix_RPP_RRHD_B1.mzML","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M401.3408T590.4","401.340787681743","590.393188476562","438.981383870797","169.227754827981","257.933166058342","129.107786531188","425.592014957406","157711.609807492","150566.055806164","153165.954535083","143312.769309266","148847.572355546"
"M409.2039T536.4","409.203854498441","536.401916503906","553.7902639137","585.477647158799","1294.53680536035","0","1177.17624487281","119643.507573571","119573.097912344","115288.082050868","119007.099215286","113486.585867163"
"M412.3055T369.6","412.305518230219","369.579193115234","581.18990242284","447.429362727111","145.658930302556","0","223.621533091751","68123.0800652444","66503.1689738121","64073.0517282626","64764.758831733","62416.2622645946"
"M414.3213T478.2","414.321289007856","478.166015625","515.478058598861","197.162420590073","0","0","894.700576439927","106446.486427747","103862.198797662","107182.325354817","104083.507278855","102555.219520966"
"M416.1911T233.1","416.191080289793","233.09299999998","149.347739771729","198.696853892494","300.966878991659","145.560988968985","0","34233.1643308228","31855.1898570749","23632.9258544893","35230.8115814683","33617.3790564458"
"M421.1465T232.5","421.146466341243","232.48600000002","0","0","0","0","374.827653284024","31645.0103163574","32061.2597738771","26899.7258184684","29483.1151594154","30900.7021939453"
"M421.3269T594.2","421.32691246288","594.215118408203","135806.297400375","95427.0583938003","101707.745144107","95306.1292445066","86053.2764882397","482686.871396797","507521.975150646","538687.780631512","521173.798847708","411425.204200246"
"M422.9371T47.5","422.937057625541","47.463","0","0","147.843178248866","201.149139918992","0","16315.8527589414","16699.2971992242","13755.8715424423","14555.9887779091","15327.7208851888"
"M423.3435T592.8","423.343540050495","592.818603515625","2934.2089924899","1369.62450183245","1192.93214311195","1083.56900155523","1141.54639337661","192539.423858204","191904.956207675","197597.151011892","187408.655998462","253123.169624627"
"M427.1603T345.9","427.160295832981","345.923980712891","415.189734766514","0","441.29823049414","425.422242535212","138.120008743834","28114.4495730822","27163.3720670229","25037.6350179215","23647.3187638245","22061.455177059"
"M427.272T558.2","427.271955357871","558.239440917969","593.060477375984","496.584730876817","0","815.550491660833","375.673450648785","21403.9196853875","31073.0600449152","25692.6048225908","21285.7976570918","26193.0606852215"
"M429.1246T47.5","429.12457646058","47.463","0","0","0","0","0","27735.202570427","24624.9723710622","28143.3517079611","26401.7406805191","25616.3542662537"
"M437.3597T608.6","437.359665345885","608.592041015625","146.275008947528","236.336430184858","1082.94748327258","0","0","219982.88948408","215099.172901179","226175.772408508","222556.19146586","214656.331761914"
"M439.237T536.4","439.237008894304","536.401916503906","0","346.391523506865","399.400146646053","577.102162450959","0","62606.3239651932","62766.4324944341","68416.2220540104","66070.3922667839","63404.6245400521"
"M441.2823T518.2","441.282329955044","518.202941894531","753.358352942569","2233.10350484977","1093.54974606963","941.290398177563","448.842636855572","112251.456465363","107539.526414568","111520.67307139","109291.009975467","108451.944199143"
"M447.3431T605","447.34307262488","604.951921630849","3262.41105625536","0","6235.0570983046","3603.92433680325","27446.0584732912","641247.397772364","671464.013435973","674785.436652245","677897.996693262","694663.129231347"
"M451.3759T625.6","451.375902891359","625.57699999998","707.639722114427","0","524.232252381534","773.03162264305","575.349170383743","186029.26813332","134824.187794529","143574.775969291","159377.840030237","188520.379397904"
"M452.277T461.8","452.276959140911","461.787261962891","0","341.543372455868","0","0","0","184239.382811613","179652.131903956","178975.42381345","181764.144308322","184556.243972901"
"M452.373T464.2","452.373031568631","464.214019775391","763.747595857342","391.360683778894","0","730.874204175102","0","63700.5125266771","63384.2945903592","59354.4403514138","62482.4270089679","59430.4529419206"
"M454.3274T460.6","454.327403999257","460.574005126953","0","330.602772535956","238.429589607487","179.804545460346","495.614564374376","17207.1002214294","15313.6731009928","16367.6871545105","15961.6030616111","14488.4121982796"
"M454.3888T486.1","454.388791721204","486.052001953125","0","425.867489288561","0","0","0","32521.7524138857","31878.2643682414","31564.6132814363","30713.6422525088","29596.4634704591"
"M458.3472T362.3","458.347201324763","362.30200000002","0","188.25328455423","146.891858619754","0","441.169498911748","107988.65417689","105961.455267594","104954.608843643","105818.274388033","97888.9893834831"
"M458.8018T535.2","458.801766319807","535.188","349.881713011019","0","0","0","158.223852297136","98253.7518438116","95090.7996132582","97429.9403408282","93032.4603507901","93093.9004059835"
"M460.2796T515.2","460.279643840461","515.170013427734","0","0","673.759409206782","0","0","40078.5648786332","38404.8364018544","36362.7363606206","39192.5648736233","38446.1261442522"
"M461.3236T549.7","461.323610414314","549.747","117.154484332938","428.20338812671","630.263450317637","155.994710494099","0","151811.37999302","150908.755849838","158552.669215758","153460.47280148","149019.170042442"
"M464.1946T258","464.194627317713","257.96398437498","207.875683194026","0","0","0","0","203658.30207499","188128.390683383","180969.888494114","183031.845880958","181619.714873992"
"M464.3139T525.5","464.31393216584","525.483032226562","0","421.210218213809","0","0","0","126649.860625102","123191.485160873","120250.633219559","139318.596463595","111889.559612023"
"M467.1525T342.3","467.152533508919","342.284057617188","1414.25280633445","370.886132821184","499.833478284935","634.636094555516","1019.45217855891","52577.2725963592","49728.1043280799","42435.5463386472","45063.0598776792","46621.2776470184"
"M467.3138T579.5","467.313759872576","579.47216796875","1043.43961904988","539.920237344323","221.420683019301","891.002925150973","457.547183166657","136126.276152344","125474.958206017","138637.913126189","128045.139548137","135699.227921286"
"M475.1323T47.5","475.132339877344","47.4630012512207","0","0","0","191.961143600373","0","17543.3034395345","19310.1790255866","19833.3914592599","19923.6025957705","19059.0669601548"
"M475.3389T554","475.338905208446","553.993591308594","503.383047673003","794.280254231772","160.178928401866","309.878514225088","129.155825205186","202905.339066767","180787.270971386","192929.854021462","182549.691065319","200909.04226318"
"M478.2939T479.4","478.293857247997","479.379241943359","625.736769371267","670.229416384426","200.204384041218","0","863.200695932049","3129173.89552969","3062691.47663319","3000081.12252474","3062346.74625936","2965435.19274992"
"M480.3097T505.5","480.309692987717","505.464065551758","1494.62304487809","901.882124399187","129.058268086704","0","326.887803216749","2099331.71808814","2087011.49530587","2090442.99056739","2078243.80456877","2072491.96390095"
"M480.3436T507.3","480.343638317695","507.284088134766","445.210014664464","685.86939760925","556.170922916775","340.260568415332","173.081226484164","1905337.06319268","1910777.59135723","1821229.33037289","1896188.66231661","1819112.30338537"
"M481.181T617.1","481.18102506991","617.083984375","174.186501100659","1148.05414675549","2079.03065900505","5350.65541092384","3612.81281001478","13697.1525153383","16567.5459872542","14440.0983868138","14840.8714898817","17758.5253229292"
"M481.2545T617.1","481.254524266741","617.083984375","1119.78999370524","0","730.351651978183","1638.36006598746","554.311612135258","63474.7627286502","68033.0305650653","68976.5345133564","61014.717912428","64446.0443397784"
"M481.3125T505.5","481.312531668979","505.464050292969","456.344924230289","399.5454816763","194.157969976775","0","431.765729033484","514114.141467931","501695.725482637","495908.822818374","530171.533910906","511257.901956267"
"M482.2936T341.7","482.293608937012","341.677062988281","129.125762141753","0","0","0","303.144599350123","11832.1349687622","11769.5024728363","11421.3268460907","10466.6101501209","11200.0833443197"
"M490.2904T442.4","490.290374924064","442.37599999998","210.56381885221","180.981427349047","516.596913442223","0","0","445865.475056674","461574.238971782","430858.868205299","473695.018136718","469788.380432044"
"M492.3741T600.7","492.374088042509","600.704772949219","0","139.873181797564","0","349.014769012964","0","463605.517556658","462127.594592927","470103.262592632","459898.804499806","466335.449125318"
"M500.2751T479.4","500.27509376116","479.379241943359","0","0","0","0","0","309453.891344996","305795.21934466","298318.614472887","307845.019586713","307157.000033126"
"M501.266T586.1","501.265962344115","586.146423339844","177.980235484849","355.47408165021","167.056740818344","696.206777680041","0","131358.364701364","105976.199325941","111143.587627232","126994.227083705","127706.611582092"
"M502.3249T507.9","502.324867201142","507.890960693359","783.355619208887","0","0","375.728235263377","0","323667.270686646","335513.193106201","316182.126544614","337680.112403322","333350.4609189"
"M504.3089T497","504.30887215582","496.972015380859","155.335623283265","339.100826831743","392.980558293681","0","0","194120.265472488","205263.489612518","208214.957910028","228511.648836611","202457.01063933"
"M508.3213T487.9","508.321340344373","487.872009277344","256.463874910043","303.534062807457","0","0","169.692425792787","578845.820029276","586988.807650313","649988.676267812","600262.407240173","608694.300096276"
"M508.8216T487.3","508.821641053551","487.265502929688","0","0","276.622618607486","0","536.334322660106","396391.302149871","415010.447627594","436949.965270142","403526.672062954","415853.774512237"
"M511.2844T597.7","511.284409449389","597.672","4472.32566302487","2253.41545201327","4370.55420327756","6270.00468718606","6615.13988534541","69942.5889117182","67778.5337854975","60544.2364026859","58574.154728203","55317.4956408694"
"M511.3588T508.5","511.358792601137","508.497039794922","0","0","0","0","0","872064.042105509","862345.183879549","855784.82109637","859963.4271501","870200.448828177"
"M513.3547T554","513.354656623022","553.993591308594","225.130298779967","779.813551720847","342.007685298712","118.643538672125","377.382084794649","356742.540923292","356542.200738282","360811.488818191","347516.174530777","355418.552721094"
"M517.3092T456.9","517.309150117331","456.934356689453","4320.1600675872","1576.25421785904","3196.5418998413","2234.26731941292","525.139193974375","388814.897968714","393107.733261544","352632.817084535","356098.824626884","358392.352838553"
"M517.3861T604.3","517.386094383449","604.344848632812","438.436175622046","0","315.644058482176","450.356178824536","0","1638169.54700537","1637436.14371361","1057888.44263944","1071542.80235942","1045734.60690759"
"M517.3854T634.7","517.385400297714","634.675842285156","970.992729414828","822.175057051098","336.513355925493","0","1424.21997196341","280816.285696875","286160.074297191","295713.340573881","290748.85473543","307023.474972999"
"M518.3897T604.3","518.389650367673","604.34500000002","128.197911202639","843.301225240554","394.236669452942","627.744347144224","334.605389166453","506909.694737328","337827.221156741","342941.331174997","526997.781343217","515245.284610192"
"M521.2713T342.9","521.271301814279","342.889984130859","0","325.5835436875","0","0","0","25142.8908474862","24084.9452908777","21214.4465514698","28686.283216605","25294.4081165879"
"M522.2804T342.3","522.280351027959","342.284057617188","331.207616079265","473.359364146401","284.150639209294","330.151521520897","317.718789573639","11245.6398702165","16050.6050693749","13486.5369776064","15189.7798394599","17764.8703179019"
"M527.815T477.6","527.815049033378","477.559906005859","0","0","0","0","0","76110.5016223251","77261.5164456591","112828.48623318","81920.8640168699","83215.1753397481"
"M531.2198T411.4","531.219830407189","411.437408447266","154.306493255715","0","0","0","0","120090.350565967","120036.57336849","110878.361978075","119261.464526649","120019.952705629"
"M532.2801T456.9","532.280120543956","456.934356689453","0","139.730492182076","197.458538762577","1180.82757508721","219.677012617276","48558.5420102522","39789.9073773195","33743.3558972016","35881.3248747773","33080.4711073058"
"M534.336T500","534.335965293908","500.005004882812","160.840541293723","158.991086658196","0","338.923957315104","228.235028733203","397157.882749576","385790.101691772","393821.946682768","378309.456261956","381021.872796264"
"M535.2997T478.2","535.299654376787","478.166015625","0","0","0","0","0","307311.91502273","300091.406700263","291983.438469414","297105.239565195","293670.13729549"
"M535.3359T500","535.335917131105","500.005004882812","231.083143703174","139.547750749527","0","0","141.825451959243","100023.988224589","100990.71192017","116603.266171142","140216.358320508","93011.0576841819"
"M535.3965T597.1","535.396471846703","597.064575195312","581.923377968883","318.879860300798","156.065582398651","695.479053433205","0","308204.725074255","313751.664720781","323109.320714961","310852.389154702","313724.264705529"
"M535.8013T478.2","535.801298149586","478.165924072266","0","0","0","0","220.375826267469","139212.558091906","130373.470142126","138562.368689803","133401.783498493","132812.856779431"
