"","mz","rt","GD_012_matrix_RPP_RRHD_B1.mzML","GD_014_matrix_RPP_RRHD_B1.mzML","GD_015_matrix_RPP_RRHD_B1.mzML","GD_017_matrix_RPP_RRHD_B1.mzML","GD_019_matrix_RPP_RRHD_B1.mzML","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M396.3105T537.6","396.310490890075","537.614868164062","267.875438299119","164.821147404079","0","215.550816783174","0","16318.9234866119","15120.5882460204","16419.0300964236","15282.0566658959","15808.3026410092"
"M396.7469T670.5","396.746942800647","670.466003417969","400.201668397351","0","0","0","149.951034867748","107084.391541919","101002.022226181","109941.109190881","106283.159071603","104726.936518666"
"M397.1754T225.8","397.175383096129","225.813629150391","154.031095016968","335.571333933667","0","0","335.302082179371","18711.7487331501","17734.9677896879","12473.4074266752","17195.7368381287","15813.2642076016"
"M397.217T594.6","397.216981625577","594.639080078125","134630.082873017","134371.25192623","135504.200876894","147484.392370812","146448.148434122","517496.97502617","511809.66954635","534215.419610907","531141.38320233","522357.988529841"
"M397.2159T421.1","397.215856902813","421.14400000002","0","283.952741422396","0","589.646973798983","368.412686196466","71363.2157641328","67503.5881990787","72664.3610256317","64882.4523932688","65953.9277675578"
"M397.2363T605.6","397.236283475686","605.557830810547","3843.56416710639","21667.0034394862","7271.20059521263","20616.1462893127","19748.6684333597","445557.113902347","450272.236824437","454590.719510211","450165.558120825","452937.711665011"
"M397.2489T670.5","397.248869331961","670.466979980469","0","546.018399565971","0","0","0","46399.7227223147","49564.4743184227","46818.2414462566","48608.4767478196","45525.8405660294"
"M397.2918T617.1","397.291842820575","617.083984375","360.372906493518","953.145629800856","936.214250583035","0","0","39641.0363374527","37267.5288476073","35759.9895537199","40508.9342122225","38513.3315793091"
"M397.2945T478.2","397.294530593283","478.166015625","0","173.742511601256","636.836958766545","0","266.193576964592","32517.0142339637","31784.0887233019","41705.2729161536","38735.3013256713","43590.6007715828"
"M397.3098T438.1","397.309786392571","438.129","0","0","0","0","188.752476392873","87229.7021848614","97580.5408539513","81494.1465576266","85055.7700119819","94330.0048130016"
"M397.7549T680.8","397.754925701087","680.779113769531","1025.97013769781","494.719012899726","179.616816546403","700.229695271701","142.391453838597","272921.648550553","275975.189481504","274021.114870375","260901.83769243","276886.226349758"
"M398.1789T225.8","398.178940510304","225.813629150391","0","0","0","0","0","4559.93224894496","4745.88961620967","4614.20990380862","4317.51713341266","5168.92581911314"
"M398.2189T594.6","398.218945001685","594.6388359375","33685.7385376205","37293.974794488","33804.8112866778","39820.0717151576","39177.864572151","129830.509253649","130408.344667473","133496.131443505","139997.683600016","133151.04338854"
