"","mz","rt","GD_012_matrix_RPP_RRHD_B1.mzML","GD_014_matrix_RPP_RRHD_B1.mzML","GD_015_matrix_RPP_RRHD_B1.mzML","GD_017_matrix_RPP_RRHD_B1.mzML","GD_019_matrix_RPP_RRHD_B1.mzML","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M149.0237T617.1","149.02365180612","617.083984375","0","0","0","0","0","311111.916786805","282617.664032707","302612.907805694","282599.965045255","298880.238276439"
"M149.059T365.9","149.05902663148","365.949752807617","130175.423564331","135649.786211733","128866.199454557","117213.655698089","135930.312819929","129847.219448183","115910.657828613","120588.286111081","126161.682341738","124601.132837442"
"M149.0596T36.5","149.059645703261","36.5439993591409","0","0","0","0","0","55526.580532401","60664.3688888938","59393.3301944824","59421.6503173055","60367.7722912192"
"M150.0213T35.3","150.021256353318","35.3310012817383","0","0","0","0","0","13990.4062060547","12409.7659259094","12087.325742283","15841.4430712891","14556.7409207806"
"M150.0267T314.4","150.026674518004","314.379","60537.704631723","61591.526546027","65537.262599104","79484.6801482151","84171.9546903854","104033.727751359","105009.619481382","78232.5345857659","81935.3967141887","78919.4065065177"
"M150.0266T617.1","150.026618690885","617.083984375","0","0","0","0","0","27237.6162095418","13129.2026391358","27044.2103304169","27677.1926263122","26348.4133035138"
"M150.0583T32.9","150.05830677446","32.903995513916","603.363532872463","0","597.896648315946","0","222.028186711084","210380.929888623","243655.733391714","220127.963629185","213730.846729363","198546.814407939"
"M151.5389T314.4","151.538884478084","314.378998901367","238595.970518203","250978.046782623","241336.590809456","282255.454126295","286880.407010717","378846.307092969","375939.22142002","472886.037235595","288979.515182477","288682.404339869"
"M152.0016T352.6","152.0016159661","352.596","10423.8543070537","7282.81876506284","13056.8177910613","9402.77617574279","7994.91572844496","6634.56820891112","6709.78447914791","11145.8563580628","6923.55139002689","7941.51782091926"
"M152.007T617.1","152.007047854598","617.083984375","0","0","186.419750408907","0","551.213691905141","20446.274901717","17165.7476954764","18944.1373691321","18098.7730280641","19493.0363790556"
"M152.0399T314.4","152.039906305978","314.378997802734","45687.8872485358","60022.286064488","44440.0432862306","51832.800192041","57080.6862173492","77903.3019773241","65664.4539362857","81788.4185995584","57272.900614363","61498.8930489528"
"M152.0706T40.8","152.070579985569","40.791","934.597007142975","402.36715797004","378.228744592615","1200.89781754434","433.679987472209","458484.721702331","476614.367457711","512456.222934291","487138.590793858","498406.448193787"
