"","mz","rt","GD_022_matrix_RPN_RRHD_B1.mzML","GD_023_matrix_RPN_RRHD_B1.mzML","GD_025_matrix_RPN_RRHD_B1.mzML","GD_027_matrix_RPN_RRHD_B1.mzML","GD_029_matrix_RPN_RRHD_B1.mzML","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M148.9805T33.1","148.980529765257","33.0512771606445","0","0","0","0","169.355015738107","244580.196919482","239236.614741514","252908.036628031","245773.15320097","235397.753736934"
"M150.8869T33.7","150.886863961898","33.6911773681641","0","0","0","0","0","207881.046869138","215407.809930975","188910.904362499","199267.507868613","222727.562630551"
"M151.0399T229.7","151.039946926033","229.721054077148","742.991761593207","988.898094722875","2929.85975643892","266.318429692417","782.090869894426","30207.777167169","27589.2630828647","30140.7858426451","29883.4565828816","26138.0935760993"
"M151.0401T315","151.040098378814","314.998596191406","1118.92836967166","397.051314102411","2307.44884934977","2317.1613944792","2327.14036564641","20227.997477098","16593.8012805929","15480.7608142441","15033.9326216342","18111.1609562555"
"M151.0403T78.8","151.040267537332","78.8211822509766","0","442.524058446195","770.976454104006","482.222487125883","0","11284.3712824533","14249.1852458404","13491.7041945234","12496.6636582214","14690.2463741547"
"M151.0401T189.7","151.040100398521","189.690765380859","1521.29427395517","1211.08345292519","254.003569302077","1458.92165836621","1170.57115096203","36050.4351174575","35361.2218875881","34105.7182917041","35595.4125311737","34248.2457534776"
"M152.8839T33.7","152.883925938506","33.6911773681641","0","0","0","0","0","192549.125817268","215453.61161287","200134.869820621","187629.063536494","196367.706772769"
"M153.0193T239.9","153.019296732157","239.871459960938","2975.42128243396","2153.28567591125","3466.92220229272","2877.14170346409","2152.84688675082","52622.8747678022","43425.64926858","48610.1344442062","49588.304874579","49019.3881081135"
"M154.9191T35","154.919062738234","35.0446472167969","0","0","0","0","0","261216.576061537","259493.255877764","263979.881527228","275868.870395205","259739.827786358"
"M155.0713T242.8","155.071298433049","242.80600000002","1600.76759787478","737.7309972496","947.115559997518","893.444396644227","820.824341673524","46264.5834864808","55520.0995637308","48507.8641862366","49701.6234972246","47718.7706845608"
"M156.9809T689.3","156.980941412177","689.287170410156","559175.311717045","584655.671117031","530080.754128442","601840.222393188","568761.318045091","373935.20934678","387659.243067383","395158.254035501","385333.372138528","393485.335262523"
"M157.087T290.7","157.087013513786","290.731506347656","2058.93879588327","3286.98965957473","1810.29735638921","1990.58109088569","1176.82674566437","340866.800737042","344238.22376145","352104.663469813","342374.203051392","352847.889149793"
"M158.0904T290.7","158.090441330419","290.731475830078","0","0","0","0","0","31030.4857441018","33934.6459215985","25700.1815597772","29163.52533413","33338.7892426679"
"M158.9755T668.1","158.975482063972","668.055358886719","4251600.28384225","3932054.94958123","4141439.92174433","2952015.37410852","3403020.87335651","5347680.60133125","5358707.75525625","5220591.45996094","5333153.43664711","5364457.57517562"
"M158.9757T731.1","158.975708963361","731.14399999998","14005460.0130777","13301395.8417153","12592765.8000488","9825152.04606497","17628809.3855204","21598487.3147761","21560761.0457988","22401294.044625","21436748.7370345","21735343.724457"
"M158.9757T708.7","158.975692572409","708.699","23863436.768093","24685084.6006208","23017304.918289","24753953.7987269","24426267.7407652","10792799.3922203","10862127.5630951","10831700.8035818","10890660.2283815","10894440.249694"
"M158.9757T689.3","158.975742414532","689.287902832031","8069378.8323342","8379089.4287582","8903590.30445853","8196025.92355251","9195630.70905171","7623921.35312074","7666418.8275554","7677094.67802927","7627325.94919987","7701535.59449169"
"M159.0663T98.4","159.066329143291","98.43100000002","5533.09040891084","3293.26901509782","5314.0598850885","3622.88365860455","4148.62627823437","15162.3555371661","15501.2937431207","16676.2890636153","14856.7584971543","12562.8416768205"
"M159.1026T312","159.102562618439","311.96500000002","12817.8692255844","12546.139331476","7807.64955198392","12266.6150484638","10634.6826962453","144134.386740128","137248.688866042","142426.210247259","143859.366544593","147753.461662239"
"M159.1026T281","159.102597606205","281.008209228516","10868.7907673754","9264.40305104007","9096.94455100378","8320.05822909972","10399.7928030054","170320.023893523","158747.357730177","163991.027811267","172444.671327822","172076.974772461"
"M159.1026T229.7","159.102613147518","229.700622558594","3232.87957198923","3527.42068827032","2792.75990730961","2622.62623825551","1920.27328453833","55843.1995015272","54983.3958238979","57845.1419836121","59235.0417449298","58454.596860375"
"M159.9767T731.1","159.976688220712","731.144775390625","2506487.69092744","1895492.07339885","2616524.99232788","1754566.25686119","2736662.48071499","2982379.10204531","3083356.35400783","3046579.93050468","3022460.13572845","3054504.90175324"
"M159.9766T689.3","159.976604194961","689.287902832031","1511751.61874232","1654145.28518669","1448779.09048018","1644861.42254469","1539032.739424","1126019.2473099","1093689.55245762","1131395.07433481","1128832.39002462","1131992.81475498"
"M159.9765T708.7","159.976497559608","708.698120117188","2163183.36537524","2044647.19936597","1926499.51156793","2083946.35527485","2526471.81093299","1517202.69195144","1561453.02821136","1567955.33179292","1570003.66084475","1566277.47626836"
"M160.1061T281","160.106079320419","281.008544921875","0","198.946878791903","0","185.560446403222","348.457332941587","15143.2149035379","15792.6655141477","11637.7499121737","15737.7366093165","14938.5628817634"
"M160.8423T40.2","160.842284677575","40.2214126586914","61293.2016473049","50630.9108269599","72466.0501357767","94706.4677768142","74362.6452227556","2764593.70499604","2599159.55714657","2523581.23639311","2508618.13745691","2414485.81611357"
"M160.8421T75.1","160.842125032993","75.0830917358398","88798.963854901","42572.4143525604","50967.6614692531","48914.4195599625","74609.0335373417","5969203.74694789","5016335.56144498","4930485.36733594","4991485.87118624","4827395.0783079"
"M160.9989T36.2","160.998944732208","36.2451705932617","0","0","0","153.105680334812","0","205850.471347461","204051.098078866","204621.74621432","199850.54912128","205913.299766418"
