"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","matrix","nist","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","isotopes","adduct","pcgroup","meanpeak"
"90",145.017128860709,145.017096771817,145.017196447519,637.102905273438,637.101867675781,637.708984375,5,0,5,657679.870385155,623142.345234451,642473.867034801,611242.716815453,641581.529316245,666493.699128232,652758.028732352,669662.605892417,688105.041043642,654241.593648716,"","[M+H]+ 144.015","47",666252.193689072
"91",145.031696736592,145.031588730902,145.031870062355,34.7240028381348,34.723991394043,35.3310012817383,5,0,5,NA,1604.31320267498,NA,NA,NA,22642.4032001913,20966.2106987689,22731.5582996168,23887.1581035721,23970.788045409,"","[M+K]+ 106.063 [M+H]+ 144.024","10",22839.6236695116
"92",145.09946670208,145.099398600156,145.101019291695,32.9040431976318,32.9038238525391,32.9541473388672,6,5,1,154281.230386368,160844.813995386,150801.439884999,155840.377499745,155544.923734151,1978.93304835813,NA,NA,9121.94121306373,NA,"","[M+K]+ 106.136 [M+Na]+ 122.11 [M+H]+ 144.092 [M+H-HCOOH]+ 190.099","34",NA
"93",145.121963828026,145.121763267221,145.122271331676,403.551361083984,402.946014404297,403.555603027344,10,5,5,18730.159367406,21099.0669180873,16008.2510282776,19797.7361902954,20630.6338708409,21614.3356570313,18504.3169710981,14960.5376521887,18630.4244566919,20963.8461588831,"","","56",18934.6921791786
"94",145.509260846611,145.508913613184,145.509514503836,314.378997802734,313.773010253906,314.380676269531,11,5,5,20757.0160849226,21333.0698728962,18532.7835530065,24784.4972691705,24404.6913782264,32468.892027951,33302.2848837258,22522.8990690653,25003.7595202423,24804.9011164502,"","","22",27620.5473234869
"95",146.059918367812,146.059603211134,146.060148210418,208.82800000002,208.827835083008,208.828125,5,0,5,NA,146.47601309123,269.485294871777,686.903302223515,311.390598495724,30007.0327193732,28549.730161325,23469.0596425667,24866.4721316887,25917.9115879836,"","","74",26562.0412485874
"99",146.911911887989,146.911789977199,146.912005461882,745.688537597656,745.080505371094,745.689,5,0,5,225836.346032407,234336.677035901,238263.560241062,185256.643352845,207056.096134095,80172.8538684153,80825.9062461605,86627.1960129685,83061.481294214,77628.4475686522,"","","689",81663.1769980821
"100",147.002743026845,147.002614130013,147.003004048863,33.5109969787698,32.9049987792969,33.5110015869141,6,0,5,NA,NA,NA,NA,NA,28815.7515877943,26712.7017918756,26699.0176037592,22558.350139158,23053.0212058512,"","","276",25567.7684656877
"104",149.023611781795,149.023509434124,149.023714630958,314.379,314.378265380859,314.986022949219,11,5,5,654857.894858277,695984.203382418,685093.596055956,834341.375386656,874260.416570258,1089548.66617427,1190701.73302384,820747.659088909,891236.455363654,859039.310979298,"[5][M]+","","22",970254.764925994
"105",149.02365180612,149.023580047594,149.023819302186,617.083984375,617.0830078125,617.08399999998,6,0,5,NA,NA,NA,NA,NA,311111.916786805,282617.664032707,302612.907805694,282599.965045255,298880.238276439,"[6][M]+","","8",295564.53838938
"106",149.05902663148,149.058933439013,149.059189853575,365.949752807617,365.940887451172,366.554321289062,10,5,5,130175.423564331,135649.786211733,128866.199454557,117213.655698089,135930.312819929,129847.219448183,115910.657828613,120588.286111081,126161.682341738,124601.132837442,"","[M+2H-H2O]2+ 314.116","81",123421.795713411
"107",149.059645703261,149.059599963376,149.059876631718,36.5439993591409,35.9379997253418,36.544002532959,6,0,5,NA,NA,NA,NA,NA,55526.580532401,60664.3688888938,59393.3301944824,59421.6503173055,60367.7722912192,"","","670",59074.7404448604
"108",150.021256353318,150.021106595037,150.021340690465,35.3310012817383,35.3299903869629,35.3310050964355,5,0,5,NA,NA,NA,NA,NA,13990.4062060547,12409.7659259094,12087.325742283,15841.4430712891,14556.7409207806,"[4][M+1]+","","277",13777.1363732633
"110",150.026618690885,150.026430622065,150.026783302446,617.083984375,616.477966308594,617.08399999998,7,0,5,NA,NA,NA,NA,NA,27237.6162095418,13129.2026391358,27044.2103304169,27677.1926263122,26348.4133035138,"[6][M+1]+","","8",24287.3270217841
"118",153.066000411236,153.065921818424,153.066054217382,34.1180000305176,34.1169929504395,34.7250022888184,5,0,5,NA,NA,409.935986393724,NA,258.298898542533,57416.3119441407,63789.8387455939,59061.4749363647,65069.6413113927,57443.770850051,"","[M+H+HCOOH]+ 106.063","10",60556.2075575086
"119",153.073440294775,153.073373651335,153.07359029567,40.791,40.7899856567383,40.7910041809082,5,0,5,NA,NA,NA,NA,NA,42759.5481103584,37689.3533114599,41171.1861720452,44575.8965925293,44632.8276155599,"[8][M+1]+","","969",42165.7623603905
"120",153.127191847649,153.127066430798,153.127348969883,92.35300000002,92.3528289794922,92.9600830078125,5,0,5,NA,NA,239.592993707795,216.842310455882,811.603150360951,50161.960186455,50105.3804997463,51383.276736962,51754.4898681756,51470.7938722539,"[9][M]+","","132",50975.1802327185
"121",153.127200048566,153.126996533915,153.127477789273,206.400695800781,205.794647216797,206.401138305664,5,0,5,555.1177521809,1776.64735540341,640.726412691208,512.649457677934,1004.69680776498,22903.664667542,20183.7651983614,19425.1753281664,22554.7039519694,20666.8891108573,"","","1458",21146.8396513793
"122",153.55454740483,153.554251737989,153.554801266201,353.199295043945,352.595886230469,353.203002929688,10,5,5,32261.8054145149,31623.6337180649,32312.1159546203,30405.3730054187,24174.7530169932,30399.9368671885,26826.4783300325,40292.1241757995,30908.5185637766,29253.966205759,"","[M+2H-CH3]2+ 320.112","1106",31536.2048285112
"123",153.57254938086,153.572244913954,153.573003031034,364.72900000002,363.515075683594,364.744293212891,9,4,5,10334.4636551847,11190.0038063766,14353.7197815053,10364.1553764937,11962.98400935,12437.0742317505,10602.5186339831,11309.5748744384,9709.67810957907,8791.87810556904,"","","1494",10570.144791064
"124",154.04785835392,154.04766607442,154.047950653767,32.9040031433105,32.2980003356934,32.9050025939941,5,0,5,438.828590972786,133.51364133041,148.389933349921,144.832201992955,NA,124472.847185916,120054.439359369,135984.122230279,126263.648018742,127648.13601765,"","","942",126884.638562391
"125",154.083810285649,154.083623228974,154.083846733498,34.72399999998,34.1180000305176,34.7250022888184,5,0,5,NA,NA,NA,130.685248413082,NA,147102.433765599,137639.138396924,131008.507460376,132421.471834717,135796.086591154,"","[M+Na]+ 131.096","10",136793.527609754
"126",154.130481896734,154.129818559055,154.130611798749,91.7470550537109,91.7469787597656,92.3530731201172,5,0,5,NA,NA,NA,NA,NA,5577.62792767494,6151.71891197342,4076.46592053889,4456.69833737041,6071.22977761232,"[9][M+1]+","","1660",5266.748175034
"127",155.002666403444,155.002641261687,155.002704072928,481.19899999998,480.593017578125,481.199951171875,5,0,5,878566.497817888,890633.738815512,860653.21005182,863912.537254966,871808.728464475,416907.1648744,410303.261847239,394151.4573522,401572.7813172,396408.63334302,"","","1011",403868.659746812
"128",155.00267854301,155.002624531028,155.002704064596,495.151000976562,495.150634765625,495.758056640625,5,0,5,759385.713683265,760056.140139699,676896.40614203,799193.259832334,801335.165467715,475268.44899932,463994.09442524,445541.978859415,434927.518768448,424086.619230897,"","","890",448763.732056664
"129",155.002664981186,155.002636560568,155.002720459029,568.555603027344,568.551147460938,569.159912109375,5,0,5,998582.918804396,1052207.78716714,1026327.52544091,1017977.54291231,1000554.76943171,822934.078705074,802464.381142339,831186.426829382,812872.145777541,802701.764542325,"","","990",814431.759399332
"130",155.00262787724,155.002593802838,155.002666474914,542.4677734375,541.860961914062,542.46799999998,5,0,5,1065727.14747539,1042348.70567668,1031585.65439487,985082.465465183,1068275.04787351,881304.422683639,800081.573187912,841366.079260865,828526.055446834,768959.65398526,"","","869",824047.556912902
"131",155.10645616294,155.106299837646,155.106545134264,353.199295043945,352.595886230469,353.207305908203,10,5,5,59747.5795841528,59261.6295248379,57423.194728864,61982.1107698786,57520.4377738403,59035.1353157092,59922.6232121231,57852.0162040652,63488.1151741287,56473.0251214714,"","","1106",59354.1830054995
"132",155.117964671252,155.117844941971,155.118158010218,39.5769996643066,38.9699859619141,39.5780029296875,5,0,5,NA,NA,NA,NA,NA,35771.4265528922,34969.5945935227,38466.3226094897,41263.9550997398,31161.2648094454,"","","968",36326.512733018
"133",155.541500578677,155.541360922146,155.541513596608,335.610961914062,335.003997802734,335.611389160156,5,0,5,NA,134.32090923395,NA,NA,NA,50442.7074548758,45571.8885602617,66599.8288255198,41760.9880308287,39660.5753435541,"","[M+H+Na]2+ 287.085","76",48807.197643008
"134",156.042261324942,156.042086474158,156.04236270957,32.2969970703125,31.6910018920898,32.2980003356934,5,0,5,5993.36799749352,1686.30548661837,2969.38968374458,4810.28418355824,6871.16930769944,49236.0452867432,50153.0020045206,54360.1456700384,51817.2610372488,54357.6720400216,"","[M+H]+ 155.039","34",51984.8252077145
"135",156.042222090392,156.042181878507,156.042339127395,46.8559799194336,46.24999999998,46.8570022583008,5,0,5,1972.89760452227,1800.40277455738,3695.5184291407,2335.92722429821,2189.58424716788,131122.416358505,135654.403767288,121733.503215134,127041.689970993,129361.573627869,"","","30",128982.717387958
"137",156.101407763072,156.101275215042,156.101498508445,134.20999999998,133.604629516602,134.817077636719,5,0,5,1064.27855264788,NA,136.623195981064,383.930774795086,484.93050506517,35946.013538562,31729.400564646,28524.6392005859,31576.5196588195,31063.9859140618,"","","129",31768.111775335
"138",156.138134917561,156.137850997826,156.138208123326,184.561569213867,184.55899999998,184.562927246094,5,0,5,4650.68899650415,4558.07002248566,5587.66421035566,5159.94264662762,5359.80568219885,18553.5756706947,17660.9687843536,20263.9502091943,21427.1456961818,19604.7005161564,"","[M+H-H2O]+ 173.142 [M+H-CO2]+ 199.131","95",19502.0681753162
"139",158.002694745028,158.002628770521,158.002749510788,32.9040832519531,32.9038238525391,32.9541473388672,5,5,0,550140.045376702,1754749.52829422,708087.06904627,484844.983817023,1787624.08141478,12326.0434532283,14543.7561876059,9394.37094037149,15804.0194839811,10942.9588608729,"","","34",12602.2297852119
"140",158.047124669386,158.047057649021,158.047344337861,71.12200000002,71.1208724975586,71.7285003662109,5,0,5,NA,NA,NA,NA,NA,17151.508560337,21348.4992318137,15001.283718962,21238.9375594482,19574.2698179115,"","[M+2K]2+ 238.159","39",18862.8997776945
"141",158.117377924784,158.117285518972,158.117478227567,71.72800000002,71.7278747558594,72.3345108032227,5,0,5,1355.88228056937,1994.97330732028,798.480197561054,2830.26587331849,1337.62359806259,157920.042187134,163959.520326087,159477.655479565,154442.565582424,156003.331402263,"","[M+H]+ 157.111","39",158360.622995495
"143",159.064959148335,159.064828845783,159.065267179113,163.326914001475,162.700637817383,163.33137512207,10,5,5,42799.1413813023,46960.6780142308,44871.441688825,52898.3726598385,53211.1401666186,56682.4773091656,63719.4026867665,46285.8369833337,44614.2913566772,50988.9629804342,"","","104",52458.1942632754
"147",159.116544897976,159.11639996053,159.116722848914,273.73600000002,273.733276367188,274.342987060547,5,0,5,412.39956126888,NA,NA,199.529775027514,NA,11273.0940147696,10052.6272556007,11437.1896554679,11635.4004387455,10771.9087026817,"","","1416",11034.0440134531
"148",159.156960269965,159.156644447177,159.157165151541,327.725036621094,327.118011474609,328.332122802734,10,5,5,20336.8586413183,21644.9134766784,25155.8883309654,24715.4425921746,27590.1528716903,29689.7888054747,30924.228288626,28071.186440762,31935.9637040696,28291.7154467048,"[10][M+1]+","","86",29782.5765371274
"150",159.552698540493,159.552304038195,159.553022590709,71.1213874816895,70.514892578125,72.2799377441406,8,5,3,18781.5843221883,18384.6661383441,16362.1955795181,15020.8964800222,13931.8047748567,1547.80896544258,7008.34406616211,1869.27982304307,7205.5255912331,7394.46300606995,"","","998",5005.08429039016
"151",160.10052043788,160.100406232859,160.100826059476,579.470825195312,578.8662109375,579.474,5,0,5,608.416387184368,785.223010219478,NA,361.634931640625,1143.40807273654,24956.3718834375,26068.7301144655,28118.5520821282,25915.503236421,24596.9582564027,"","","12",25931.223114571
