"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","matrix","nist","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","isotopes","adduct","pcgroup","meanpeak"
"140",188.137323015823,188.137043206707,188.13766585868,358.067245483398,358.066711425781,358.068054199219,6,0,5,NA,301.710227179626,1039.32690114808,723.90128041918,690.819214952002,18262.836911718,17339.8974912307,15635.9586091497,15591.2891936524,17668.4265497369,"[14][M+1]-","","648",16899.6817510975
"141",189.005109574236,189.0050362382,189.005151957636,110.564002990723,110.554626464844,111.16999999998,5,0,5,NA,NA,NA,NA,NA,1121194.96300986,1120815.63713242,1123054.0798054,1120766.32592827,1145800.03906695,"","[M+2Cl]2- 308.061","3",1126326.20898858
"143",189.091928297641,189.091851005511,189.092394898538,287.086700439453,286.48699999998,287.694396972656,5,0,5,NA,NA,218.864005493488,NA,NA,14499.5999105992,11458.7168893918,13249.1726314097,11766.1043796407,12913.6465997445,"","","745",12777.4480821572
"147",191.107761966836,191.107726579624,191.10779679475,285.263549804688,285.259582519531,285.27400000002,5,0,5,398.220998915007,245.6362896508,599.952836720084,NA,383.588703348419,362037.649786353,361759.48605494,355442.362789087,354667.637225599,375771.167625394,"[15][M]-","[M-H-CO2]- 236.104","53",361935.660696274
"148",192.110984843889,192.110917445878,192.111048834193,285.263549804688,285.259582519531,285.27400000002,5,0,5,NA,NA,NA,NA,NA,46787.3308693715,47918.4828271707,43704.2365321289,42310.2901508239,46955.2386363345,"[15][M+1]-","","53",45535.1158031659
"150",193.090066969535,193.089966364556,193.090374898901,299.832580566406,299.682342529297,300.439239501953,6,1,5,8807.58466113873,7159.98314275644,10294.985010976,8290.4633801574,10361.2707814624,78473.0502224881,82891.6002030637,68892.7692969915,62607.6562580825,75280.99146416,"","","99",73629.2134889572
"151",193.815638671529,193.815527631705,193.815746936768,38.9284706115723,38.376,39.4302139282227,5,0,5,NA,NA,NA,NA,NA,124901.507060277,115953.042146989,115016.570006836,123638.996387302,109232.378781764,"","[M+Cl]- 158.852","34",117748.498876634
"152",194.045714736852,194.045300045689,194.045809859515,272.497192382812,272.494201660156,273.07275390625,5,0,5,488.855180758717,183.071893671993,184.747573980238,1079.28944413867,743.913139956967,18613.3580854707,17950.4801528573,19153.6691969507,16684.3974554077,19765.2390493794,"","","1082",18433.4287880132
"156",195.138994663694,195.138661315513,195.139019874593,450.882049560547,450.275817871094,451.488037109375,5,0,5,565.244781680888,403.895817212611,152.440606810153,NA,576.227067473413,15548.8315163834,15599.5660597423,12813.0180076778,17627.783069394,12868.7604753647,"","","37",14891.5918257124
"157",195.811134567985,195.811079737974,195.811187640463,38.9284706115723,38.376,39.427864074707,5,0,5,NA,351.055902681127,NA,NA,NA,2046698.29552047,1925134.74146444,1872061.88475808,2192918.02327767,1820086.43331466,"","[M-2H+K]- 158.852 [M+Cl]- 160.848","34",1971379.87566706
"158",195.810825266749,195.810806192025,195.810888823412,110.564002990723,110.554626464844,111.16999999998,5,0,5,NA,NA,NA,NA,NA,530116.371082384,618835.13615313,539327.060558002,537395.245913559,644903.770899482,"","[M+Cl]- 160.847 [M-H-C2H4]- 224.848","3",574115.516921311
